,标题,地区,具体位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
0,越秀大学星汇锦城,番禺,南村东线路越秀大学星汇锦城,在售,30000.0,3,98.0,"住宅,低单价,低总价,绿化率高,人车分流",292.5,10.308952660644293,5.678464666671911,4.584967478670571
1,万科黄埔新城,黄埔,南岗街沙步大路2号,在售,33000.0,3,109.0,"住宅,优惠楼盘,低总价,车位充足,绿化率高",367.5,10.404262840448617,5.906723318652891,4.6913478822291435
2,中建未来方洲,黄埔,石化路中建未来方洲,待售,42000.0,3,109.0,"住宅,低总价,车位充足,绿化率高,国央企",350.0,10.645424897265505,5.857933154483459,4.6913478822291435
3,合景誉山国际,增城,增城区新新大道合景誉山国际营销中心,在售,10000.0,3,108.0,"住宅,低单价,低总价,绿化率高,人车分流",80.0,9.210340371976182,4.382026634673881,4.68213122712422
4,中旅名门府,花都,G107中旅名门府,在售,18500.0,2,98.0,"住宅,低总价,车位充足,绿化率高,国央企",200.0,9.825526011066415,5.298317366548036,4.584967478670571
5,合生中央城（住宅）,黄埔,广州市黄埔区岗荔街8号,在售,33000.0,3,127.0,"住宅,低总价,绿化率高,人车分流,入户花园",482.5,10.404262840448617,6.178980920779041,4.844187086458591
6,景业东湖洲豪园,南沙,广东省广州市南沙区环市大道南横地铁站200米,在售,26000.0,3,108.0,"住宅,车位充足,低密居所,置换改善,养老舒适",325.0,10.165851817003619,5.783825182329737,4.68213122712422
7,天健汇,天河,车陂北路（天坤三路与健明四路交汇处）,在售,37500.0,1,43.5,"商业类,低总价,人车分流,小型社区,国央企",117.5,10.532096211958502,4.7664383335842135,3.7727609380946383
8,南沙珠江湾,南沙,漾滨路和海滨路交汇处,在售,30000.0,3,109.0,"商业,人车分流,大型社区,品牌房企,贴心物业",318.0,10.308952660644293,5.762051382780177,4.6913478822291435
9,碧桂园云顶,增城,广东省广州市增城区广惠高速路口西侧50米,在售,21000.0,3,147.5,"住宅,车位充足,人车分流,品牌房企,水系园林",270.0,9.95227771670556,5.598421958998374,4.993828175779875
10,智杰雅筑,从化,向阳路32号,待售,11000.0,3,166.0,"住宅,绿化率高,人车分流,入户花园,贴心物业",140.0,9.305650551780507,4.941642422609304,5.111987788356543
11,新世界凯粤湾,荔湾,芳村大道西236号,在售,43000.0,3,114.0,"住宅,绿化率高,人车分流,品牌房企,入户花园",549.0,10.668955394675699,6.3080984415095305,4.736198448394496
12,东方名都,增城,东江大道北8号,在售,19000.0,2,91.0,"住宅,绿化率高,人车分流,入户花园,健身跑道",274.0,9.852194258148577,5.6131281063880705,4.51085950651685
13,广州敏捷绿湖首府,增城,石滩镇新城大道石滩中学北侧400米,在售,10000.0,2,97.0,"住宅,低单价,低总价,绿化率高,人车分流",92.0,9.210340371976182,4.5217885770490405,4.574710978503383
14,顺欣花园,增城,荔新十二路98号,在售,14800.0,2,109.0,"住宅,人车分流,大型社区,儿童乐园,地铁沿线",175.15,9.602382459752207,5.165642749643496,4.6913478822291435
15,中森茗苑,增城,新塘石新路168号,在售,21000.0,3,86.5,"住宅,人车分流,封闭管理,入户花园,儿童乐园",187.0,9.95227771670556,5.231108616854587,4.460144413937833
16,新鸿基御华园,花都,广州花都狮岭狮岭大道东1号,在售,15000.0,2,93.0,"住宅,低单价,低总价,人车分流,大型社区",134.0,9.615805480084347,4.897839799950911,4.532599493153255
17,雍晟岭南雅苑,从化,江埔街大江路13号,在售,16000.0,3,89.0,"住宅,绿化率高,人车分流,品牌房企,入户花园",145.0,9.680344001221918,4.976733742420574,4.48863636973214
18,霍英东集团·南天名苑,番禺,洛浦街洛溪环岛北路8号,在售,90000.0,4,310.0,"住宅,车位充足,低密居所,国央企,置换改善",3710.0,11.407564949312402,8.21878715560148,5.736572297479192
19,卓粤卓雅名苑,花都,建设北路223号,在售,14500.0,2,101.0,"住宅,低单价,低总价,车位充足,绿化率高",155.0,9.581903928408666,5.043425116919247,4.61512051684126
20,万科幸福誉1期,黄埔,中新知识城•地铁何棠下站（麦当劳旁）,在售,31000.0,4,116.0,"住宅,车位充足,绿化率高,国央企,品牌房企",550.0,10.341742483467282,6.309918278226516,4.7535901911063645
21,科城山庄峻森园,黄埔,峻祥路与峻福路交汇处,待售,41000.0,3,124.0,"住宅,大型社区,近地铁,地铁沿线,大平层",600.0,10.621327345686444,6.396929655216146,4.820281565605037
22,珠江国际城,从化,广州地铁14号线神岗站A出口前行约400米,在售,9500.0,3,141.5,"住宅,优惠楼盘,低单价,车位充足,绿化率高",202.5,9.159047077588632,5.310739886546593,4.952299717083292
