标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
越秀大学星汇锦城,番禺,南村,南村东线路越秀大学星汇锦城,"住宅,低单价,低总价,绿化率高,人车分流",30000,总价185-400(万/套),在售,"3室,4室",建面 70-126㎡
万科黄埔新城,黄埔,南岗,南岗街沙步大路2号,"住宅,优惠楼盘,低总价,车位充足,绿化率高",33000,总价235-500(万/套),在售,"3室,4室",建面 75-143㎡
中建未来方洲,黄埔,文冲,石化路中建未来方洲,"住宅,低总价,车位充足,绿化率高,国央企",42000,总价350(万/套),待售,,
合景誉山国际,增城,永宁,增城区新新大道合景誉山国际营销中心,"住宅,低单价,低总价,绿化率高,人车分流",10000,总价80(万/套),在售,3室,建面 74-142㎡
中旅名门府,花都,镜湖大道,G107中旅名门府,"住宅,低总价,车位充足,绿化率高,国央企",18500,总价150-250(万/套),在售,"2室,3室",建面 80-116㎡
合生中央城（住宅）,黄埔,香雪,广州市黄埔区岗荔街8号,"住宅,低总价,绿化率高,人车分流,入户花园",33000,总价255-710(万/套),在售,"3室,4室",建面 85-169㎡
景业东湖洲豪园,南沙,南沙湾,广东省广州市南沙区环市大道南横地铁站200米,"住宅,车位充足,低密居所,置换改善,养老舒适",26000,总价320-330(万/套),在售,3室,建面 95-121㎡
天健汇,天河,车陂,车陂北路（天坤三路与健明四路交汇处）,"商业类,低总价,人车分流,小型社区,国央企",37500,总价100-135(万/套),在售,1室,建面 36-51㎡
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,"商业,人车分流,大型社区,品牌房企,贴心物业",30000,总价318(万/套),在售,,
碧桂园云顶,增城,凤凰城,广东省广州市增城区广惠高速路口西侧50米,"住宅,车位充足,人车分流,品牌房企,水系园林",21000,总价200-340(万/套),在售,"3室,4室",建面 90-205㎡
智杰雅筑,从化,河滨北路,向阳路32号,"住宅,绿化率高,人车分流,入户花园,贴心物业",11000,总价140(万/套),待售,,建面 90-242㎡
新世界凯粤湾,荔湾,滘口,芳村大道西236号,"住宅,绿化率高,人车分流,品牌房企,入户花园",43000,总价408-690(万/套),在售,"3室,4室",建面 95-133㎡
东方名都,增城,白江,东江大道北8号,"住宅,绿化率高,人车分流,入户花园,健身跑道",19000,总价200-348(万/套),在售,"2室,3室",建面 40-142㎡
广州敏捷绿湖首府,增城,石滩镇,石滩镇新城大道石滩中学北侧400米,"住宅,低单价,低总价,绿化率高,人车分流",10000,总价64-120(万/套),在售,"2室,3室",建面 71-123㎡
顺欣花园,增城,新塘北,荔新十二路98号,"住宅,人车分流,大型社区,儿童乐园,地铁沿线",14800,总价124.3-226(万/套),在售,"2室,3室",建面 80-138㎡
中森茗苑,增城,新塘北,新塘石新路168号,"住宅,人车分流,封闭管理,入户花园,儿童乐园",21000,总价180-194(万/套),在售,3室,建面 85-88㎡
新鸿基御华园,花都,狮岭镇,广州花都狮岭狮岭大道东1号,"住宅,低单价,低总价,人车分流,大型社区",15000,总价88-180(万/套),在售,"2室,3室",建面 67-119㎡
雍晟岭南雅苑,从化,江浦街,江埔街大江路13号,"住宅,绿化率高,人车分流,品牌房企,入户花园",16000,总价145(万/套),在售,,建面 89㎡
霍英东集团·南天名苑,番禺,洛溪,洛浦街洛溪环岛北路8号,"住宅,车位充足,低密居所,国央企,置换改善",90000,总价1120-6300(万/套),在售,"4室,5室",建面 140-480㎡
卓粤卓雅名苑,花都,花城街,建设北路223号,"住宅,低单价,低总价,车位充足,绿化率高",14500,总价130-180(万/套),在售,"2室,3室",建面 77-125㎡
万科幸福誉1期,黄埔,知识城,中新知识城•地铁何棠下站（麦当劳旁）,"住宅,车位充足,绿化率高,国央企,品牌房企",31000,总价550(万/套),在售,4室,建面 66-166㎡
科城山庄峻森园,黄埔,科学城,峻祥路与峻福路交汇处,"住宅,大型社区,近地铁,地铁沿线,大平层",41000,总价530-670(万/套),待售,"3室,4室",建面 63-185㎡
珠江国际城,从化,神岗镇,广州地铁14号线神岗站A出口前行约400米,"住宅,优惠楼盘,低单价,车位充足,绿化率高",9500,总价85-320(万/套),在售,"3室,4室",建面 83-200㎡
宏诚海峰花园,从化,江浦街,广州市从化区江埔街环市东路453号,"住宅,人车分流,封闭管理,健身跑道,贴心物业",112-175,,待售,"2室,3室",建面 79-134㎡
富雅都市华庭,增城,新塘北,汇太东路233号,"住宅,人车分流,大型社区,避暑,儿童乐园",15600,总价65-220(万/套),在售,"1室,3室",建面 38-116㎡
珠光山水御苑,从化,江浦街,广州市从化温泉大道13号,"住宅,低单价,车位充足,绿化率高,健身跑道",8000,总价175(万/套),在售,4室,建面 141-171㎡
致岭假日花园,花都,狮岭镇,花都狮岭大道6号,"住宅,低单价,低总价,车位充足,绿化率高",14500,总价135-190(万/套),在售,"3室,4室",建面 94-111㎡
尚东阳光雅苑,增城,沙村,新塘镇西宁西路618号,"住宅,绿化率高,人车分流,品牌房企,入户花园",14000,总价65-205(万/套),在售,"1室,2室",建面 49-143㎡
荔富湖畔,增城,朱村,朱村街朱村大道东88号,"住宅,车位充足,绿化率高,品牌房企,入户花园",14000,总价142-235(万/套),在售,"3室,4室",建面 104-168㎡
南沙金茂湾,南沙,明珠湾,南沙明珠湾灵山岛尖沙嘴中路以南,"商业类,低总价,车位充足,大型社区,国央企",19000,总价455(万/套),在售,1室,建面 138-230㎡
湾际·滨江,南沙,进港大道,滨海路和倚涛三街交汇处,"住宅,低总价,人车分流,大型社区,品牌房企",26000,总价180-350(万/套),在售,"3室,5室",建面 89-172㎡
海珠湖景峰,海珠,南洲,南洲路761号-819号,"住宅,低总价,车位充足,绿化率高,多轨交汇",38000,总价258(万/套),在售,2室,建面 69-133㎡
臻尚苑,番禺,广州南站,广州市番禺区石壁街道石洲中路100号,"住宅,绿化率高,人车分流,入户花园,中式建筑",43000,总价384-490(万/套),在售,"2室,3室",建面 96-118㎡
合汇·中央广场,增城,荔城中区,荔景大道合汇·中央广场,"住宅,人车分流,大型社区,品牌房企,入户花园",21000,总价267-574(万/套),在售,"2室,3室",建面 78-174㎡
大城云山,从化,太平镇,广从南路1033号,"住宅,绿化率高,低密居所,置换改善,高品质小区",13000,总价250(万/套),在售,3室,建面 121-142㎡
越秀星汇云城,白云,同和,广州大道北同宝路163号,"住宅,车位充足,绿化率高,国央企,入户花园",53000,总价620-720(万/套),在售,4室,建面 78-122㎡
珠江源昌花园,南沙,横沥,珠江街新广三路1号,"住宅,低单价,低总价,绿化率高,人车分流",20000,总价235-250(万/套),在售,"3室,4室",建面 79-123㎡
江源半岛花园,天河,金融城,黄埔大道车陂南路1、3、5、7号(4、5号线地铁交汇处南侧),"住宅,绿化率高,人车分流,品牌房企,近地铁",100000,总价630-963(万/套),在售,"2室,3室",建面 70-127㎡
惠百氏广场,增城,白江,增城新塘大林边路6号（13号线白江站D1口100米）,"住宅,人车分流,大型社区,自持商业,近地铁",16000,总价126-239(万/套),在售,"2室,3室",建面 75-130㎡
仁安花园,增城,朱村,广州市增城区朱村街朱宁公路1号、3号、5号,"住宅,低单价,低总价,绿化率高,人车分流",11000,总价100-110(万/套),在售,"2室,3室",建面 80-93㎡
紫泉流溪湾,从化,太平镇,105国道从化太平段紫泉流溪湾,"住宅,车位充足,绿化率高,入户花园,临近高速",16000,总价195(万/套),在售,,建面 88-203㎡
中泰天境,黄埔,知识城,九龙镇萝岗广汕公路与九龙大道交汇处,"住宅,低单价,低总价,车位充足,绿化率高",23000,总价300(万/套),在售,4室,建面 130㎡
